title,genres,keywords,plot,content
Raees [36],Family|Romance,delhi ambition justice,"When a family faces crisis, a hero chooses delhi over fear in this heartfelt Family entertainer.",famili romanc delhi ambit justic when a famili face crisi a hero choos delhi over fear in thi heartfelt famili entertain
My Name Is Khan [37],Thriller|Adventure,village heist mumbai,"Set between Mumbai and Delhi, this Thriller-Adventure film explores village, heist, and the cost of mumbai.",thriller adventur villag heist mumbai set between mumbai and delhi thi thriller adventur film explor villag heist and the cost of mumbai
Chennai Express [38],Musical|Crime,dream family heist,"When a family faces crisis, a hero chooses dream over fear in this heartfelt Musical entertainer.",music crime dream famili heist when a famili face crisi a hero choos dream over fear in thi heartfelt music entertain
Dil Se.. [39],Family|Crime,college wedding love,A Family story where college and wedding shape the journey of a determined protagonist in modern India.,famili crime colleg wed love a famili stori where colleg and wed shape the journey of a determin protagonist in modern india
Devdas [40],Drama|Crime,dance family ambition,"Set between Mumbai and Delhi, this Drama-Crime film explores dance, family, and the cost of ambition.",drama crime danc famili ambit set between mumbai and delhi thi drama crime film explor danc famili and the cost of ambit
Hum Aapke Hain Koun..! [41],Thriller|Adventure,wedding village college,"Set between Mumbai and Delhi, this Thriller-Adventure film explores wedding, village, and the cost of college.",thriller adventur wed villag colleg set between mumbai and delhi thi thriller adventur film explor wed villag and the cost of colleg
Maine Pyar Kiya [42],Comedy|Musical,ambition revenge wedding,"A gripping Comedy narrative driven by ambition, revenge, and an unforgettable finale.",comedi music ambit reveng wed a grip comedi narr driven by ambit reveng and an unforgett final
Hum Dil De Chuke Sanam [43],Romance|Drama,investigation friendship revenge,"Set between Mumbai and Delhi, this Romance-Drama film explores investigation, friendship, and the cost of revenge.",romanc drama investig friendship reveng set between mumbai and delhi thi romanc drama film explor investig friendship and the cost of reveng
Goliyon Ki Raasleela Ram-Leela [44],Action|Crime,mumbai redemption dream,"When a family faces crisis, a hero chooses mumbai over fear in this heartfelt Action entertainer.",action crime mumbai redempt dream when a famili face crisi a hero choos mumbai over fear in thi heartfelt action entertain
Padmaavat [45],Drama|Action,patriotism friendship redemption,"A popular Bollywood tale of patriotism, friendship, and redemption, blending emotion, music, and dramatic twists.",drama action patriot friendship redempt a popular bollywood tale of patriot friendship and redempt blend emot music and dramat twist
Bajirao Mastani [46],Musical|Comedy,college investigation mumbai,"Set between Mumbai and Delhi, this Musical-Comedy film explores college, investigation, and the cost of mumbai.",music comedi colleg investig mumbai set between mumbai and delhi thi music comedi film explor colleg investig and the cost of mumbai
Gangubai Kathiawadi [47],Thriller|Comedy,dream love investigation,A Thriller story where dream and love shape the journey of a determined protagonist in modern India.,thriller comedi dream love investig a thriller stori where dream and love shape the journey of a determin protagonist in modern india
Black [48],Mystery|Family,love redemption mumbai,"A gripping Mystery narrative driven by love, redemption, and an unforgettable finale.",mysteri famili love redempt mumbai a grip mysteri narr driven by love redempt and an unforgett final
Guzaarish [49],Adventure|Action,love delhi revenge,"Set between Mumbai and Delhi, this Adventure-Action film explores love, delhi, and the cost of revenge.",adventur action love delhi reveng set between mumbai and delhi thi adventur action film explor love delhi and the cost of reveng
Piku [50],Romance|Biography,revenge ambition patriotism,A Romance story where revenge and ambition shape the journey of a determined protagonist in modern India.,romanc biographi reveng ambit patriot a romanc stori where reveng and ambit shape the journey of a determin protagonist in modern india
Sholay [51],Biography|Thriller,heist love revenge,"When a family faces crisis, a hero chooses heist over fear in this heartfelt Biography entertainer.",biographi thriller heist love reveng when a famili face crisi a hero choos heist over fear in thi heartfelt biographi entertain
Dilwale Dulhania Le Jayenge [52],Sports|Biography,heist delhi dance,"A popular Bollywood tale of heist, delhi, and dance, blending emotion, music, and dramatic twists.",sport biographi heist delhi danc a popular bollywood tale of heist delhi and danc blend emot music and dramat twist
3 Idiots [53],Thriller|Sports,dance ambition justice,"When a family faces crisis, a hero chooses dance over fear in this heartfelt Thriller entertainer.",thriller sport danc ambit justic when a famili face crisi a hero choos danc over fear in thi heartfelt thriller entertain
Lagaan [54],Action|Sports,music wedding dance,A Action story where music and wedding shape the journey of a determined protagonist in modern India.,action sport music wed danc a action stori where music and wed shape the journey of a determin protagonist in modern india
Dangal [55],Drama|Musical,redemption heist family,A Drama story where redemption and heist shape the journey of a determined protagonist in modern India.,drama music redempt heist famili a drama stori where redempt and heist shape the journey of a determin protagonist in modern india
PK [56],Adventure|Thriller,delhi justice village,"A popular Bollywood tale of delhi, justice, and village, blending emotion, music, and dramatic twists.",adventur thriller delhi justic villag a popular bollywood tale of delhi justic and villag blend emot music and dramat twist
Bajrangi Bhaijaan [57],Romance|Thriller,sacrifice music city,"When a family faces crisis, a hero chooses sacrifice over fear in this heartfelt Romance entertainer.",romanc thriller sacrific music citi when a famili face crisi a hero choos sacrific over fear in thi heartfelt romanc entertain
Zindagi Na Milegi Dobara [58],Adventure|Comedy,redemption delhi friendship,"A gripping Adventure narrative driven by redemption, delhi, and an unforgettable finale.",adventur comedi redempt delhi friendship a grip adventur narr driven by redempt delhi and an unforgett final
Kabhi Khushi Kabhie Gham [59],Comedy|Sports,family village justice,A Comedy story where family and village shape the journey of a determined protagonist in modern India.,comedi sport famili villag justic a comedi stori where famili and villag shape the journey of a determin protagonist in modern india
Kal Ho Naa Ho [60],Romance|Adventure,village justice music,"A gripping Romance narrative driven by village, justice, and an unforgettable finale.",romanc adventur villag justic music a grip romanc narr driven by villag justic and an unforgett final
Kuch Kuch Hota Hai [61],Thriller|Family,dream justice delhi,"When a family faces crisis, a hero chooses dream over fear in this heartfelt Thriller entertainer.",thriller famili dream justic delhi when a famili face crisi a hero choos dream over fear in thi heartfelt thriller entertain
Swades [62],Comedy|Drama,revenge college justice,A Comedy story where revenge and college shape the journey of a determined protagonist in modern India.,comedi drama reveng colleg justic a comedi stori where reveng and colleg shape the journey of a determin protagonist in modern india
Taare Zameen Par [63],Drama|Family,village justice city,"When a family faces crisis, a hero chooses village over fear in this heartfelt Drama entertainer.",drama famili villag justic citi when a famili face crisi a hero choos villag over fear in thi heartfelt drama entertain
Andhadhun [64],Adventure|Crime,investigation friendship family,A Adventure story where investigation and friendship shape the journey of a determined protagonist in modern India.,adventur crime investig friendship famili a adventur stori where investig and friendship shape the journey of a determin protagonist in modern india
Barfi! [65],Mystery|Action,investigation love sacrifice,"A gripping Mystery narrative driven by investigation, love, and an unforgettable finale.",mysteri action investig love sacrific a grip mysteri narr driven by investig love and an unforgett final
Queen [66],Adventure|Action,college village love,"A popular Bollywood tale of college, village, and love, blending emotion, music, and dramatic twists.",adventur action colleg villag love a popular bollywood tale of colleg villag and love blend emot music and dramat twist
Kahaani [67],Family|Drama,sacrifice dream ambition,A Family story where sacrifice and dream shape the journey of a determined protagonist in modern India.,famili drama sacrific dream ambit a famili stori where sacrific and dream shape the journey of a determin protagonist in modern india
Gully Boy [68],Family|Adventure,college village ambition,"Set between Mumbai and Delhi, this Family-Adventure film explores college, village, and the cost of ambition.",famili adventur colleg villag ambit set between mumbai and delhi thi famili adventur film explor colleg villag and the cost of ambit
Rockstar [69],Action|Crime,friendship city dance,"When a family faces crisis, a hero chooses friendship over fear in this heartfelt Action entertainer.",action crime friendship citi danc when a famili face crisi a hero choos friendship over fear in thi heartfelt action entertain
Tamasha [70],Sports|Thriller,justice city family,"When a family faces crisis, a hero chooses justice over fear in this heartfelt Sports entertainer.",sport thriller justic citi famili when a famili face crisi a hero choos justic over fear in thi heartfelt sport entertain
Jab We Met [71],Drama|Musical,ambition dream wedding,"A popular Bollywood tale of ambition, dream, and wedding, blending emotion, music, and dramatic twists.",drama music ambit dream wed a popular bollywood tale of ambit dream and wed blend emot music and dramat twist
Chak De! India [72],Comedy|Thriller,ambition friendship dream,"When a family faces crisis, a hero chooses ambition over fear in this heartfelt Comedy entertainer.",comedi thriller ambit friendship dream when a famili face crisi a hero choos ambit over fear in thi heartfelt comedi entertain
Bhaag Milkha Bhaag [73],Family|Comedy,revenge justice sacrifice,"A gripping Family narrative driven by revenge, justice, and an unforgettable finale.",famili comedi reveng justic sacrific a grip famili narr driven by reveng justic and an unforgett final
Rang De Basanti [74],Crime|Sports,investigation dance friendship,A Crime story where investigation and dance shape the journey of a determined protagonist in modern India.,crime sport investig danc friendship a crime stori where investig and danc shape the journey of a determin protagonist in modern india
Munna Bhai M.B.B.S. [75],Comedy|Action,heist justice love,A Comedy story where heist and justice shape the journey of a determined protagonist in modern India.,comedi action heist justic love a comedi stori where heist and justic shape the journey of a determin protagonist in modern india
Lage Raho Munna Bhai [76],Biography|Crime,sacrifice dance college,"A gripping Biography narrative driven by sacrifice, dance, and an unforgettable finale.",biographi crime sacrific danc colleg a grip biographi narr driven by sacrific danc and an unforgett final
Om Shanti Om [77],Adventure|Romance,patriotism heist dream,"A popular Bollywood tale of patriotism, heist, and dream, blending emotion, music, and dramatic twists.",adventur romanc patriot heist dream a popular bollywood tale of patriot heist and dream blend emot music and dramat twist
Don [78],Drama|Crime,friendship delhi investigation,"Set between Mumbai and Delhi, this Drama-Crime film explores friendship, delhi, and the cost of investigation.",drama crime friendship delhi investig set between mumbai and delhi thi drama crime film explor friendship delhi and the cost of investig
Don 2 [79],Family|Crime,revenge dance heist,A Family story where revenge and dance shape the journey of a determined protagonist in modern India.,famili crime reveng danc heist a famili stori where reveng and danc shape the journey of a determin protagonist in modern india
War [80],Mystery|Comedy,delhi music college,"A popular Bollywood tale of delhi, music, and college, blending emotion, music, and dramatic twists.",mysteri comedi delhi music colleg a popular bollywood tale of delhi music and colleg blend emot music and dramat twist
Pathaan [81],Crime|Comedy,investigation village dream,"When a family faces crisis, a hero chooses investigation over fear in this heartfelt Crime entertainer.",crime comedi investig villag dream when a famili face crisi a hero choos investig over fear in thi heartfelt crime entertain
Jawan [82],Sports|Crime,city heist music,"When a family faces crisis, a hero chooses city over fear in this heartfelt Sports entertainer.",sport crime citi heist music when a famili face crisi a hero choos citi over fear in thi heartfelt sport entertain
Tiger Zinda Hai [83],Adventure|Drama,music redemption dream,"When a family faces crisis, a hero chooses music over fear in this heartfelt Adventure entertainer.",adventur drama music redempt dream when a famili face crisi a hero choos music over fear in thi heartfelt adventur entertain
Ek Tha Tiger [84],Biography|Mystery,dance wedding heist,"When a family faces crisis, a hero chooses dance over fear in this heartfelt Biography entertainer.",biographi mysteri danc wed heist when a famili face crisi a hero choos danc over fear in thi heartfelt biographi entertain
Sultan [85],Sports|Thriller,delhi mumbai city,A Sports story where delhi and mumbai shape the journey of a determined protagonist in modern India.,sport thriller delhi mumbai citi a sport stori where delhi and mumbai shape the journey of a determin protagonist in modern india
Raees [86],Comedy|Adventure,redemption dance revenge,"Set between Mumbai and Delhi, this Comedy-Adventure film explores redemption, dance, and the cost of revenge.",comedi adventur redempt danc reveng set between mumbai and delhi thi comedi adventur film explor redempt danc and the cost of reveng
My Name Is Khan [87],Sports|Comedy,ambition dream village,A Sports story where ambition and dream shape the journey of a determined protagonist in modern India.,sport comedi ambit dream villag a sport stori where ambit and dream shape the journey of a determin protagonist in modern india
Chennai Express [88],Drama|Thriller,mumbai revenge wedding,"When a family faces crisis, a hero chooses mumbai over fear in this heartfelt Drama entertainer.",drama thriller mumbai reveng wed when a famili face crisi a hero choos mumbai over fear in thi heartfelt drama entertain
Dil Se.. [89],Sports|Biography,dream patriotism mumbai,"When a family faces crisis, a hero chooses dream over fear in this heartfelt Sports entertainer.",sport biographi dream patriot mumbai when a famili face crisi a hero choos dream over fear in thi heartfelt sport entertain
Devdas [90],Thriller|Action,friendship family college,"Set between Mumbai and Delhi, this Thriller-Action film explores friendship, family, and the cost of college.",thriller action friendship famili colleg set between mumbai and delhi thi thriller action film explor friendship famili and the cost of colleg
Hum Aapke Hain Koun..! [91],Action|Adventure,wedding love investigation,"Set between Mumbai and Delhi, this Action-Adventure film explores wedding, love, and the cost of investigation.",action adventur wed love investig set between mumbai and delhi thi action adventur film explor wed love and the cost of investig
Maine Pyar Kiya [92],Romance|Musical,village wedding delhi,"A gripping Romance narrative driven by village, wedding, and an unforgettable finale.",romanc music villag wed delhi a grip romanc narr driven by villag wed and an unforgett final
Hum Dil De Chuke Sanam [93],Biography|Family,wedding delhi college,"A gripping Biography narrative driven by wedding, delhi, and an unforgettable finale.",biographi famili wed delhi colleg a grip biographi narr driven by wed delhi and an unforgett final
Goliyon Ki Raasleela Ram-Leela [94],Musical|Action,mumbai wedding justice,"Set between Mumbai and Delhi, this Musical-Action film explores mumbai, wedding, and the cost of justice.",music action mumbai wed justic set between mumbai and delhi thi music action film explor mumbai wed and the cost of justic
Padmaavat [95],Sports|Comedy,delhi mumbai ambition,"A popular Bollywood tale of delhi, mumbai, and ambition, blending emotion, music, and dramatic twists.",sport comedi delhi mumbai ambit a popular bollywood tale of delhi mumbai and ambit blend emot music and dramat twist
Bajirao Mastani [96],Musical|Romance,music ambition justice,"A popular Bollywood tale of music, ambition, and justice, blending emotion, music, and dramatic twists.",music romanc music ambit justic a popular bollywood tale of music ambit and justic blend emot music and dramat twist
Gangubai Kathiawadi [97],Family|Adventure,revenge village heist,"Set between Mumbai and Delhi, this Family-Adventure film explores revenge, village, and the cost of heist.",famili adventur reveng villag heist set between mumbai and delhi thi famili adventur film explor reveng villag and the cost of heist
Black [98],Crime|Action,dream revenge college,"When a family faces crisis, a hero chooses dream over fear in this heartfelt Crime entertainer.",crime action dream reveng colleg when a famili face crisi a hero choos dream over fear in thi heartfelt crime entertain
Guzaarish [99],Family|Adventure,wedding college love,"Set between Mumbai and Delhi, this Family-Adventure film explores wedding, college, and the cost of love.",famili adventur wed colleg love set between mumbai and delhi thi famili adventur film explor wed colleg and the cost of love
Piku [100],Crime|Mystery,heist friendship patriotism,"When a family faces crisis, a hero chooses heist over fear in this heartfelt Crime entertainer.",crime mysteri heist friendship patriot when a famili face crisi a hero choos heist over fear in thi heartfelt crime entertain
Sholay [101],Drama|Family,music patriotism college,"A gripping Drama narrative driven by music, patriotism, and an unforgettable finale.",drama famili music patriot colleg a grip drama narr driven by music patriot and an unforgett final
Dilwale Dulhania Le Jayenge [102],Mystery|Adventure,redemption ambition mumbai,"Set between Mumbai and Delhi, this Mystery-Adventure film explores redemption, ambition, and the cost of mumbai.",mysteri adventur redempt ambit mumbai set between mumbai and delhi thi mysteri adventur film explor redempt ambit and the cost of mumbai
3 Idiots [103],Comedy|Crime,mumbai friendship patriotism,"A popular Bollywood tale of mumbai, friendship, and patriotism, blending emotion, music, and dramatic twists.",comedi crime mumbai friendship patriot a popular bollywood tale of mumbai friendship and patriot blend emot music and dramat twist
Lagaan [104],Sports|Mystery,patriotism city wedding,"Set between Mumbai and Delhi, this Sports-Mystery film explores patriotism, city, and the cost of wedding.",sport mysteri patriot citi wed set between mumbai and delhi thi sport mysteri film explor patriot citi and the cost of wed
Dangal [105],Biography|Adventure,friendship patriotism redemption,A Biography story where friendship and patriotism shape the journey of a determined protagonist in modern India.,biographi adventur friendship patriot redempt a biographi stori where friendship and patriot shape the journey of a determin protagonist in modern india
PK [106],Sports|Crime,village wedding city,A Sports story where village and wedding shape the journey of a determined protagonist in modern India.,sport crime villag wed citi a sport stori where villag and wed shape the journey of a determin protagonist in modern india
Bajrangi Bhaijaan [107],Comedy|Crime,dance dream wedding,"A popular Bollywood tale of dance, dream, and wedding, blending emotion, music, and dramatic twists.",comedi crime danc dream wed a popular bollywood tale of danc dream and wed blend emot music and dramat twist
Zindagi Na Milegi Dobara [108],Family|Crime,justice college redemption,A Family story where justice and college shape the journey of a determined protagonist in modern India.,famili crime justic colleg redempt a famili stori where justic and colleg shape the journey of a determin protagonist in modern india
Kabhi Khushi Kabhie Gham [109],Musical|Drama,investigation love sacrifice,"Set between Mumbai and Delhi, this Musical-Drama film explores investigation, love, and the cost of sacrifice.",music drama investig love sacrific set between mumbai and delhi thi music drama film explor investig love and the cost of sacrific
Kal Ho Naa Ho [110],Sports|Romance,love friendship ambition,"Set between Mumbai and Delhi, this Sports-Romance film explores love, friendship, and the cost of ambition.",sport romanc love friendship ambit set between mumbai and delhi thi sport romanc film explor love friendship and the cost of ambit
Kuch Kuch Hota Hai [111],Drama|Biography,village ambition redemption,"When a family faces crisis, a hero chooses village over fear in this heartfelt Drama entertainer.",drama biographi villag ambit redempt when a famili face crisi a hero choos villag over fear in thi heartfelt drama entertain
Swades [112],Sports|Romance,heist dream wedding,"A popular Bollywood tale of heist, dream, and wedding, blending emotion, music, and dramatic twists.",sport romanc heist dream wed a popular bollywood tale of heist dream and wed blend emot music and dramat twist
Taare Zameen Par [113],Family|Action,redemption family city,"A popular Bollywood tale of redemption, family, and city, blending emotion, music, and dramatic twists.",famili action redempt famili citi a popular bollywood tale of redempt famili and citi blend emot music and dramat twist
Andhadhun [114],Romance|Biography,friendship music patriotism,"When a family faces crisis, a hero chooses friendship over fear in this heartfelt Romance entertainer.",romanc biographi friendship music patriot when a famili face crisi a hero choos friendship over fear in thi heartfelt romanc entertain
Barfi! [115],Mystery|Thriller,revenge heist ambition,A Mystery story where revenge and heist shape the journey of a determined protagonist in modern India.,mysteri thriller reveng heist ambit a mysteri stori where reveng and heist shape the journey of a determin protagonist in modern india
Queen [116],Mystery|Comedy,redemption family love,"A popular Bollywood tale of redemption, family, and love, blending emotion, music, and dramatic twists.",mysteri comedi redempt famili love a popular bollywood tale of redempt famili and love blend emot music and dramat twist
Kahaani [117],Adventure|Crime,sacrifice revenge delhi,"A popular Bollywood tale of sacrifice, revenge, and delhi, blending emotion, music, and dramatic twists.",adventur crime sacrific reveng delhi a popular bollywood tale of sacrific reveng and delhi blend emot music and dramat twist
Gully Boy [118],Drama|Crime,mumbai family college,"A popular Bollywood tale of mumbai, family, and college, blending emotion, music, and dramatic twists.",drama crime mumbai famili colleg a popular bollywood tale of mumbai famili and colleg blend emot music and dramat twist
Rockstar [119],Sports|Musical,village college city,"A gripping Sports narrative driven by village, college, and an unforgettable finale.",sport music villag colleg citi a grip sport narr driven by villag colleg and an unforgett final
Tamasha [120],Sports|Comedy,redemption investigation mumbai,"When a family faces crisis, a hero chooses redemption over fear in this heartfelt Sports entertainer.",sport comedi redempt investig mumbai when a famili face crisi a hero choos redempt over fear in thi heartfelt sport entertain
Jab We Met [121],Crime|Biography,justice dance ambition,A Crime story where justice and dance shape the journey of a determined protagonist in modern India.,crime biographi justic danc ambit a crime stori where justic and danc shape the journey of a determin protagonist in modern india
Chak De! India [122],Comedy|Musical,ambition wedding patriotism,"A popular Bollywood tale of ambition, wedding, and patriotism, blending emotion, music, and dramatic twists.",comedi music ambit wed patriot a popular bollywood tale of ambit wed and patriot blend emot music and dramat twist
Bhaag Milkha Bhaag [123],Drama|Musical,dance city mumbai,"Set between Mumbai and Delhi, this Drama-Musical film explores dance, city, and the cost of mumbai.",drama music danc citi mumbai set between mumbai and delhi thi drama music film explor danc citi and the cost of mumbai
Rang De Basanti [124],Family|Comedy,dance justice heist,"A gripping Family narrative driven by dance, justice, and an unforgettable finale.",famili comedi danc justic heist a grip famili narr driven by danc justic and an unforgett final
Munna Bhai M.B.B.S. [125],Drama|Adventure,dream revenge ambition,"When a family faces crisis, a hero chooses dream over fear in this heartfelt Drama entertainer.",drama adventur dream reveng ambit when a famili face crisi a hero choos dream over fear in thi heartfelt drama entertain
Lage Raho Munna Bhai [126],Musical|Adventure,ambition mumbai heist,"When a family faces crisis, a hero chooses ambition over fear in this heartfelt Musical entertainer.",music adventur ambit mumbai heist when a famili face crisi a hero choos ambit over fear in thi heartfelt music entertain
Om Shanti Om [127],Drama|Romance,music ambition patriotism,"Set between Mumbai and Delhi, this Drama-Romance film explores music, ambition, and the cost of patriotism.",drama romanc music ambit patriot set between mumbai and delhi thi drama romanc film explor music ambit and the cost of patriot
Don [128],Comedy|Sports,heist sacrifice mumbai,"A gripping Comedy narrative driven by heist, sacrifice, and an unforgettable finale.",comedi sport heist sacrific mumbai a grip comedi narr driven by heist sacrific and an unforgett final
Don 2 [129],Adventure|Family,college investigation dance,"A popular Bollywood tale of college, investigation, and dance, blending emotion, music, and dramatic twists.",adventur famili colleg investig danc a popular bollywood tale of colleg investig and danc blend emot music and dramat twist
War [130],Mystery|Musical,justice music redemption,"Set between Mumbai and Delhi, this Mystery-Musical film explores justice, music, and the cost of redemption.",mysteri music justic music redempt set between mumbai and delhi thi mysteri music film explor justic music and the cost of redempt
